,Name,Price,Body Type,Displacement,Transmission,Seating Capacity,Odometer
0,Honda City 1.3 i-VTEC Prosmatec 2016,3425000.0,Sedan,1300.0,Automatic,5,89000
1,Honda Civic VTi Oriel 1.8 i-VTEC 2014,3800000.0,Sedan,1800.0,Manual,7,186634
2,Toyota Aqua S 2014,3525000.0,Hatchback,1500.0,Automatic,5,98000
3,Suzuki Bolan 2007,630000.0,Hatchback,800.0,Manual,5,80
4,Toyota Corolla GLi 1.3 VVTi 2012,2650000.0,Sedan,1300.0,Manual,5,170000
5,Toyota Corolla 1986,750000.0,Hatchback,1300.0,Manual,5,290000
6,Hyundai Sonata 2.0 2022,9000000.0,Sedan,2000.0,Automatic,5,31500
7,Suzuki Every PA 2008,1550000.0,Micro Van,660.0,Automatic,5,133000
8,Toyota Corolla Altis Grande CVT-i 1.8 2018,5700000.0,Sedan,1800.0,Automatic,5,73000
9,Suzuki Alto 2009,650000.0,Hatchback,800.0,Manual,5,11000
10,Suzuki Cultus VXL 2006,790000.0,Hatchback,1000.0,Manual,5,70000
11,Suzuki Alto VXL AGS 2021,2700000.0,Hatchback,660.0,Automatic,7,41000
12,Honda Civic VTi 1.6 2002,1620000.0,Sedan,1600.0,Manual,5,185445
13,Suzuki Ravi Euro II 2017,1280000.0,Pick Up,800.0,Manual,5,70000
14,Suzuki Mehran VX 2008,650000.0,Hatchback,800.0,Manual,5,150000
15,Suzuki Baleno Sport 2005,1300000.0,Sedan,1300.0,Manual,5,200000
16,Toyota Yaris GLI CVT 1.3 2021,4140000.0,Sedan,1300.0,Automatic,5,33414
17,Daihatsu Hijet Special 2008,1450000.0,Mini Van,660.0,Automatic,5,240000
18,Hyundai Santro Exec GV 2004,1040000.0,Hatchback,1000.0,Manual,5,360000
19,Honda Civic Oriel 1.8 i-VTEC CVT 2018,5375000.0,Sedan,1800.0,Automatic,5,127
20,Toyota Yaris ATIV MT 1.3 2021,4150000.0,Sedan,1300.0,Manual,5,15104
21,Toyota Corolla GLi 1.3 VVTi 2017,4500000.0,Sedan,1300.0,Manual,5,33500
22,Subaru Stella G 2015,2400000.0,Hatchback,660.0,Automatic,5,91000
23,Honda City 1.3 i-VTEC 2018,3425000.0,Sedan,1300.0,Manual,5,58000
24,Daihatsu Mira G SA III 2017,2850000.0,Hatchback,660.0,Automatic,5,74000
25,Toyota Voxy X 2014,5400000.0,Mini Van,2000.0,Automatic,5,72000
28,KIA Picanto 1.0 AT 2020,2850000.0,Hatchback,998.0,Automatic,5,57000
30,Suzuki Alto 2009,650000.0,Hatchback,800.0,Manual,5,11000
31,Suzuki Cultus VXL 2006,790000.0,Hatchback,1000.0,Manual,5,70000
32,Suzuki Alto VXL AGS 2021,2700000.0,Hatchback,660.0,Automatic,5,41000
33,Honda Civic VTi 1.6 2002,1620000.0,Sedan,1600.0,Manual,5,185445
34,Suzuki Ravi Euro II 2017,1280000.0,Pick Up,800.0,Manual,5,70000
35,Suzuki Mehran VX 2008,650000.0,Hatchback,800.0,Manual,5,150000
36,Suzuki Baleno Sport 2005,1300000.0,Sedan,1300.0,Manual,7,200000
37,Toyota Yaris GLI CVT 1.3 2021,4140000.0,Sedan,1300.0,Automatic,7,33414
38,Daihatsu Hijet Special 2008,1450000.0,Mini Van,660.0,Automatic,5,240000
39,Hyundai Elantra GLS 2022,6400000.0,Sedan,2000.0,Automatic,5,8200
40,Daihatsu Cuore CX Automatic 2006,819999.9999999999,Hatchback,800.0,Automatic,5,115000
41,Toyota Aqua S 2017,4899000.0,Hatchback,1500.0,Automatic,5,85000
42,Suzuki Alto 2022,4025000.0,Hatchback,660.0,Automatic,5,12000
43,Honda City i-DSI 2007,1750000.0,Sedan,1300.0,Manual,5,170000
44,Toyota Hilux 1992,1600000.0,Hatchback,2000.0,Manual,5,150000
45,Honda Civic EXi Prosmatec 2004,1540000.0,Sedan,1500.0,Automatic,5,373124
46,Toyota Vitz 2011,2700000.0,Hatchback,1000.0,Automatic,7,180000
47,Honda Civic EXi Prosmatec 2003,1510000.0,Sedan,1500.0,Automatic,5,1
48,Honda City 1.3 i-VTEC Prosmatec 2018,3490000.0,Sedan,1300.0,Automatic,5,82000
49,Daihatsu Mira L SA 2014,2180000.0,Hatchback,660.0,Automatic,5,77000
50,Suzuki Liana LXi Sport 2007,1100000.0,Sedan,1300.0,Manual,5,118000
51,Honda Civic Oriel 1.8 i-VTEC CVT 2018,5375000.0,Sedan,1800.0,Automatic,5,127
52,Toyota Yaris ATIV MT 1.3 2021,4150000.0,Sedan,1300.0,Manual,5,15104
53,Toyota Corolla GLi 1.3 VVTi 2017,4500000.0,Sedan,1300.0,Manual,7,33500
54,Subaru Stella G 2015,2400000.0,Hatchback,660.0,Automatic,5,91000
55,Honda City 1.3 i-VTEC 2018,3425000.0,Sedan,1300.0,Manual,7,58000
56,Daihatsu Mira G SA III 2017,2850000.0,Hatchback,660.0,Automatic,5,74000
57,Toyota Voxy X 2014,5400000.0,Mini Van,2000.0,Automatic,5,72000
58,KIA Picanto 1.0 AT 2020,2850000.0,Hatchback,998.0,Automatic,7,57000
60,Toyota Fortuner 2.7 VVTi 2013,7200000.0,SUV,2700.0,Automatic,5,137000
