Name,Price,Body Type,Displacement,Transmission,Seating Capacity,Odometer
JW Forland Safari  2024 Specifications,35.0 - 43.0 lacs,MPV,1480 cc,Manual,7 - Persons,0
MG ZS EV 2024 Specifications,1.3 - 1.5 crore,Compact SUV,-,Automatic,5 - Persons,0
MG 4 2024 Specifications,1.1 - 1.3 crore,Crossover,-,Automatic,5 - Persons,0
Hyundai Santa Fe 2024 Specifications,1.3 - 1.47 crore,SUV,1598 cc,Automatic,7 - Persons,0
GUGO GIGI 2024 Specifications,46.5 lacs,Hatchback,-,Automatic,4 - Persons,0
Seres 3 2024 Specifications,83.9 lacs,SUV,-,Automatic,5 - Persons,0
MG 5 EV 2024 Specifications,1.35 crore,Station Wagon,-,Automatic,5 - Persons,0
Toyota Corolla Cross 2024 Specifications,82.0 - 98.5 lacs,SUV,1798 cc,Automatic,5 - Persons,0
ORA 03 2024 Specifications,90.0 lacs,Hatchback,-,Automatic,5 - Persons,0
Tank 500 2024 Specifications,4.5 crore,SUV,1998 cc,Automatic,7 - Persons,0
Hyundai Ioniq 6 2024 Specifications,2.3 crore,Compact sedan,-,Automatic,5 - Persons,0
Hyundai Ioniq 5 2024 Specifications,2.25 crore,SUV,-,Automatic,5 - Persons,0
Toyota Prado 2024 Specifications,-,SUV,2755 cc,Automatic,7 - Persons,0
Changan Karvaan 2024 Specifications,27.8 - 30.0 lacs,Mini Van,999 - 1243 cc,Manual,7 - Persons,0
MG HS 2024 Specifications,72.0 - 93.0 lacs,Crossover,1490 - 1995 cc,Automatic,5 - Persons,0
Hyundai Elantra 2024 Specifications,64.0 - 69.3 lacs,Sedan,1591 - 1999 cc,Automatic,5 - Persons,0
Hyundai Tucson 2024 Specifications,63.0 - 82.4 lacs,SUV,1999 cc,Automatic,5 - Persons,0
United Bravo 2024 Specifications,15.2 lacs,Hatchback,796 cc,Manual,5 - Persons,0
Prince Pearl 2024 Specifications,18.5 lacs,Hatchback,796 cc,Manual & Automatic,5 - Persons,0
Toyota Land Cruiser 2024 Specifications,12.0 crore,SUV,3444 - 3445 cc,Automatic,7 - Persons,0
Changan Alsvin 2024 Specifications,38.0 - 45.5 lacs,Sedan,1370 - 1480 cc,Manual & Automatic,5 - Persons,0
Honda BR-V 2024 Specifications,35.5 - 52.0 lacs,MPV,1497 cc,Automatic,7 - Persons,0
KIA Picanto 2024 Specifications,36.0 - 38.5 lacs,Hatchback,1000 cc,Manual & Automatic,5 - Persons,0
KIA Sportage 2024 Specifications,65.0 - 82.0 lacs,SUV,1999 cc,Automatic,5 - Persons,0
Toyota Fortuner 2024 Specifications,195.0 - 228.0 lacs,SUV,2694 - 2755 cc,Automatic,7 - Persons,0
Suzuki Swift 2024 Specifications,43.4 - 47.2 lacs,Hatchback,1200 cc,Manual & Automatic,5 - Persons,0
Toyota Yaris 2024 Specifications,43.3 - 58.5 lacs,Sedan,1329 - 1496 cc,Manual & Automatic,5 - Persons,0
Suzuki Wagon R 2024 Specifications,17.4 lacs,Hatchback,998 cc,Manual & Automatic,5 - Persons,0
Suzuki Cultus 2024 Specifications,21.5 - 37.0 lacs,Hatchback,998 cc,Manual & Automatic,5 - Persons,0
Honda Civic 2024 Specifications,83.3 - 99.0 lacs,Sedan,1498 cc,Automatic,5 - Persons,0
Honda City 2024 Specifications,-,Compact sedan,1199 - 1497 cc,Manual & Automatic,5 - Persons,0
Suzuki Alto 2024 Specifications,23.3 - 30.5 lacs,Hatchback,658 cc,Manual & Automatic,4 - Persons,0
Toyota Corolla 2024 Specifications,42.0 lacs,Sedan,1298 - 1800 cc,Manual & Automatic,5 - Persons,0
