Name,Price,Body Type,Displacement,Transmission,Seating Capacity,Odometer
Honda City 1.3 i-VTEC Prosmatec 2016,PKR 34.25 lacs,Sedan,1300 cc,Automatic,,"89,000 km"
Honda Civic VTi Oriel 1.8 i-VTEC 2014,PKR 38 lacs,Sedan,1800 cc,,,"186,634 km"
Toyota Aqua S 2014,PKR 35.25 lacs,Hatchback,1500 cc,Automatic,,"98,000 km"
Suzuki Bolan 2007,PKR 6.3 lacs,,800 cc,,,80 km
Toyota Corolla GLi 1.3 VVTi 2012,PKR 26.5 lacs,Sedan,1300 cc,,,"170,000 km"
Toyota Corolla 1986,PKR 7.5 lacs,,1300 cc,,,"290,000 km"
Hyundai Sonata 2.0 2022,PKR 90 lacs,Sedan,2000 cc,Automatic,,"31,500 km"
Suzuki Every PA 2008,PKR 15.5 lacs,Micro Van,660 cc,Automatic,,"133,000 km"
Toyota Corolla Altis Grande CVT-i 1.8 2018,PKR 57 lacs,Sedan,1800 cc,Automatic,,"73,000 km"
Suzuki Alto 2009,PKR 6.5 lacs,,800 cc,,,"11,000 km"
Suzuki Cultus VXL 2006,PKR 7.9 lacs,Hatchback,1000 cc,,,"70,000 km"
Suzuki Alto VXL AGS 2021,PKR 27 lacs,Hatchback,660 cc,Automatic,,"41,000 km"
Honda Civic VTi 1.6 2002,PKR 16.2 lacs,Sedan,1600 cc,,,"185,445 km"
Suzuki Ravi Euro II 2017,PKR 12.8 lacs,Pick Up,800 cc,,,"70,000 km"
Suzuki Mehran VX 2008,PKR 6.5 lacs,Hatchback,800 cc,,,"150,000 km"
Suzuki Baleno Sport 2005,PKR 13 lacs,Sedan,1300 cc,,,"200,000 km"
Toyota Yaris GLI CVT 1.3 2021,PKR 41.4 lacs,Sedan,1300 cc,Automatic,,"33,414 km"
Daihatsu Hijet Special 2008,PKR 14.5 lacs,Mini Van,660 cc,Automatic,,"240,000 km"
Hyundai Santro Exec GV 2004,PKR 10.4 lacs,Hatchback,1000 cc,,,"360,000 km"
Honda Civic Oriel 1.8 i-VTEC CVT 2018,PKR 53.75 lacs,Sedan,1800 cc,Automatic,,127 km
Toyota Yaris ATIV MT 1.3 2021,PKR 41.5 lacs,Sedan,1300 cc,,,"15,104 km"
Toyota Corolla GLi 1.3 VVTi 2017,PKR 45 lacs,Sedan,1300 cc,,,"33,500 km"
Subaru Stella G 2015,PKR 24 lacs,Hatchback,660 cc,Automatic,,"91,000 km"
Honda City 1.3 i-VTEC 2018,PKR 34.25 lacs,Sedan,1300 cc,,,"58,000 km"
Daihatsu Mira G SA III 2017,PKR 28.5 lacs,Hatchback,660 cc,Automatic,,"74,000 km"
Toyota Voxy X 2014,PKR 54 lacs,Mini Van,2000 cc,Automatic,,"72,000 km"
MG HS Trophy 2022,Call for price,Crossover,1500 cc,Automatic,,"33,800 km"
Toyota Fortuner 2.8 Sigma 4 2021,Call for price,SUV,2800 cc,Automatic,,"34,000 km"
KIA Picanto 1.0 AT 2020,PKR 28.5 lacs,Hatchback,998 cc,Automatic,,"57,000 km"
Honda Civic Oriel 1.8 i-VTEC CVT 2020,Call for price,Sedan,1800 cc,Automatic,,"37,000 km"
Suzuki Alto 2009,PKR 6.5 lacs,,800 cc,,,"11,000 km"
Suzuki Cultus VXL 2006,PKR 7.9 lacs,Hatchback,1000 cc,,,"70,000 km"
Suzuki Alto VXL AGS 2021,PKR 27 lacs,Hatchback,660 cc,Automatic,,"41,000 km"
Honda Civic VTi 1.6 2002,PKR 16.2 lacs,Sedan,1600 cc,,,"185,445 km"
Suzuki Ravi Euro II 2017,PKR 12.8 lacs,Pick Up,800 cc,,,"70,000 km"
Suzuki Mehran VX 2008,PKR 6.5 lacs,Hatchback,800 cc,,,"150,000 km"
Suzuki Baleno Sport 2005,PKR 13 lacs,Sedan,1300 cc,,,"200,000 km"
Toyota Yaris GLI CVT 1.3 2021,PKR 41.4 lacs,Sedan,1300 cc,Automatic,,"33,414 km"
Daihatsu Hijet Special 2008,PKR 14.5 lacs,Mini Van,660 cc,Automatic,,"240,000 km"
Hyundai Elantra GLS 2022,PKR 64 lacs,Sedan,2000 cc,Automatic,,"8,200 km"
Daihatsu Cuore CX Automatic 2006,PKR 8.2 lacs,Hatchback,800 cc,Automatic,,"115,000 km"
Toyota Aqua S 2017,PKR 48.99 lacs,Hatchback,1500 cc,Automatic,,"85,000 km"
Suzuki Alto 2022,PKR 40.25 lacs,,660 cc,Automatic,,"12,000 km"
Honda City i-DSI 2007,PKR 17.5 lacs,Sedan,1300 cc,,,"170,000 km"
Toyota Hilux 1992,PKR 16 lacs,,2000 cc,,,"150,000 km"
Honda Civic EXi Prosmatec 2004,PKR 15.4 lacs,Sedan,1500 cc,Automatic,,"373,124 km"
Toyota Vitz 2011,PKR 27 lacs,,1000 cc,Automatic,,"180,000 km"
Honda Civic EXi Prosmatec 2003,PKR 15.1 lacs,Sedan,1500 cc,Automatic,,1 km
Honda City 1.3 i-VTEC Prosmatec 2018,PKR 34.9 lacs,Sedan,1300 cc,Automatic,,"82,000 km"
Daihatsu Mira L SA 2014,PKR 21.8 lacs,Hatchback,660 cc,Automatic,,"77,000 km"
Suzuki Liana LXi Sport 2007,PKR 11 lacs,Sedan,1300 cc,,,"118,000 km"
Honda Civic Oriel 1.8 i-VTEC CVT 2018,PKR 53.75 lacs,Sedan,1800 cc,Automatic,,127 km
Toyota Yaris ATIV MT 1.3 2021,PKR 41.5 lacs,Sedan,1300 cc,,,"15,104 km"
Toyota Corolla GLi 1.3 VVTi 2017,PKR 45 lacs,Sedan,1300 cc,,,"33,500 km"
Subaru Stella G 2015,PKR 24 lacs,Hatchback,660 cc,Automatic,,"91,000 km"
Honda City 1.3 i-VTEC 2018,PKR 34.25 lacs,Sedan,1300 cc,,,"58,000 km"
Daihatsu Mira G SA III 2017,PKR 28.5 lacs,Hatchback,660 cc,Automatic,,"74,000 km"
Toyota Voxy X 2014,PKR 54 lacs,Mini Van,2000 cc,Automatic,,"72,000 km"
KIA Picanto 1.0 AT 2020,PKR 28.5 lacs,Hatchback,998 cc,Automatic,,"57,000 km"
Honda Civic Oriel 1.8 i-VTEC CVT 2020,Call for price,Sedan,1800 cc,Automatic,,"37,000 km"
Toyota Fortuner 2.7 VVTi 2013,PKR 72 lacs,SUV,2700 cc,Automatic,,"137,000 km"
MG HS Trophy 2022,Call for price,Crossover,1500 cc,Automatic,,"33,800 km"
Toyota Fortuner 2.8 Sigma 4 2021,Call for price,SUV,2800 cc,Automatic,,"34,000 km"
