Name,Price,Body Type,Displacement,Transmission,Seating Capacity,Odometer
JW Forland Safari  2024 Specifications,3900000,MPV,1480,Manual,7,0
MG ZS EV 2024 Specifications,140000,Compact SUV,1585.2,Automatic,5,0
MG 4 2024 Specifications,120000,Crossover,1585.2,Automatic,5,0
Hyundai Santa Fe 2024 Specifications,138500,SUV,1598,Automatic,7,0
GUGO GIGI 2024 Specifications,4650000,Hatchback,1585.2,Automatic,4,0
Seres 3 2024 Specifications,8390000,SUV,1585.2,Automatic,5,0
MG 5 EV 2024 Specifications,135000,Station Wagon,1585.2,Automatic,5,0
Toyota Corolla Cross 2024 Specifications,9025000,SUV,1798,Automatic,5,0
ORA 03 2024 Specifications,9000000,Hatchback,1585.2,Automatic,5,0
Tank 500 2024 Specifications,450000,SUV,1998,Automatic,7,0
Hyundai Ioniq 6 2024 Specifications,230000,Compact sedan,1585.2,Automatic,5,0
Hyundai Ioniq 5 2024 Specifications,225000,SUV,1585.2,Automatic,5,0
Changan Karvaan 2024 Specifications,2890000,Mini Van,1121,Manual,7,0
MG HS 2024 Specifications,8250000,Crossover,1742.5,Automatic,5,0
Hyundai Elantra 2024 Specifications,6665000,Sedan,1795,Automatic,5,0
Hyundai Tucson 2024 Specifications,7270000,SUV,1999,Automatic,5,0
United Bravo 2024 Specifications,1520000,Hatchback,796,Manual,5,0
Prince Pearl 2024 Specifications,1850000,Hatchback,796,Manual & Automatic,5,0
Toyota Land Cruiser 2024 Specifications,1200000,SUV,3444.5,Automatic,7,0
Changan Alsvin 2024 Specifications,4175000,Sedan,1425,Manual & Automatic,5,0
Honda BR-V 2024 Specifications,4375000,MPV,1497,Automatic,7,0
KIA Picanto 2024 Specifications,3725000,Hatchback,1000,Manual & Automatic,5,0
KIA Sportage 2024 Specifications,7350000,SUV,1999,Automatic,5,0
Toyota Fortuner 2024 Specifications,21150000,SUV,2724.5,Automatic,7,0
Suzuki Swift 2024 Specifications,4530000,Hatchback,1200,Manual & Automatic,5,0
Toyota Yaris 2024 Specifications,5090000,Sedan,1412.5,Manual & Automatic,5,0
Suzuki Wagon R 2024 Specifications,1740000,Hatchback,998,Manual & Automatic,5,0
Suzuki Cultus 2024 Specifications,2925000,Hatchback,998,Manual & Automatic,5,0
Honda Civic 2024 Specifications,9115000,Sedan,1498,Automatic,5,0
Suzuki Alto 2024 Specifications,2690000,Hatchback,658,Manual & Automatic,4,0
Toyota Corolla 2024 Specifications,4200000,Sedan,1549,Manual & Automatic,5,0
Honda City 1.3 i-VTEC Prosmatec 2016,3425000,Sedan,1300,Automatic,5,89000
Honda Civic VTi Oriel 1.8 i-VTEC 2014,3800000,Sedan,1800,Manual,7,186634
Toyota Aqua S 2014,3525000,Hatchback,1500,Automatic,5,98000
Suzuki Bolan 2007,630000,Hatchback,800,Manual,5,80
Toyota Corolla GLi 1.3 VVTi 2012,2650000,Sedan,1300,Manual,5,170000
Toyota Corolla 1986,750000,Hatchback,1300,Manual,5,290000
Hyundai Sonata 2.0 2022,9000000,Sedan,2000,Automatic,5,31500
Suzuki Every PA 2008,1550000,Micro Van,660,Automatic,5,133000
Toyota Corolla Altis Grande CVT-i 1.8 2018,5700000,Sedan,1800,Automatic,5,73000
Suzuki Alto 2009,650000,Hatchback,800,Manual,5,11000
Suzuki Cultus VXL 2006,790000,Hatchback,1000,Manual,5,70000
Suzuki Alto VXL AGS 2021,2700000,Hatchback,660,Automatic,7,41000
Honda Civic VTi 1.6 2002,1620000,Sedan,1600,Manual,5,185445
Suzuki Ravi Euro II 2017,1280000,Pick Up,800,Manual,5,70000
Suzuki Mehran VX 2008,650000,Hatchback,800,Manual,5,150000
Suzuki Baleno Sport 2005,1300000,Sedan,1300,Manual,5,200000
Toyota Yaris GLI CVT 1.3 2021,4140000,Sedan,1300,Automatic,5,33414
Daihatsu Hijet Special 2008,1450000,Mini Van,660,Automatic,5,240000
Hyundai Santro Exec GV 2004,1040000,Hatchback,1000,Manual,5,360000
Honda Civic Oriel 1.8 i-VTEC CVT 2018,5375000,Sedan,1800,Automatic,5,127
Toyota Yaris ATIV MT 1.3 2021,4150000,Sedan,1300,Manual,5,15104
Toyota Corolla GLi 1.3 VVTi 2017,4500000,Sedan,1300,Manual,5,33500
Subaru Stella G 2015,2400000,Hatchback,660,Automatic,5,91000
Honda City 1.3 i-VTEC 2018,3425000,Sedan,1300,Manual,5,58000
Daihatsu Mira G SA III 2017,2850000,Hatchback,660,Automatic,5,74000
Toyota Voxy X 2014,5400000,Mini Van,2000,Automatic,5,72000
KIA Picanto 1.0 AT 2020,2850000,Hatchback,998,Automatic,5,57000
Suzuki Alto 2009,650000,Hatchback,800,Manual,5,11000
Suzuki Cultus VXL 2006,790000,Hatchback,1000,Manual,5,70000
Suzuki Alto VXL AGS 2021,2700000,Hatchback,660,Automatic,5,41000
Honda Civic VTi 1.6 2002,1620000,Sedan,1600,Manual,5,185445
Suzuki Ravi Euro II 2017,1280000,Pick Up,800,Manual,5,70000
Suzuki Mehran VX 2008,650000,Hatchback,800,Manual,5,150000
Suzuki Baleno Sport 2005,1300000,Sedan,1300,Manual,7,200000
Toyota Yaris GLI CVT 1.3 2021,4140000,Sedan,1300,Automatic,7,33414
Daihatsu Hijet Special 2008,1450000,Mini Van,660,Automatic,5,240000
Hyundai Elantra GLS 2022,6400000,Sedan,2000,Automatic,5,8200
Daihatsu Cuore CX Automatic 2006,820000,Hatchback,800,Automatic,5,115000
Toyota Aqua S 2017,4899000,Hatchback,1500,Automatic,5,85000
Suzuki Alto 2022,4025000,Hatchback,660,Automatic,5,12000
Honda City i-DSI 2007,1750000,Sedan,1300,Manual,5,170000
Toyota Hilux 1992,1600000,Hatchback,2000,Manual,5,150000
Honda Civic EXi Prosmatec 2004,1540000,Sedan,1500,Automatic,5,373124
Toyota Vitz 2011,2700000,Hatchback,1000,Automatic,7,180000
Honda Civic EXi Prosmatec 2003,1510000,Sedan,1500,Automatic,5,1
Honda City 1.3 i-VTEC Prosmatec 2018,3490000,Sedan,1300,Automatic,5,82000
Daihatsu Mira L SA 2014,2180000,Hatchback,660,Automatic,5,77000
Suzuki Liana LXi Sport 2007,1100000,Sedan,1300,Manual,5,118000
Honda Civic Oriel 1.8 i-VTEC CVT 2018,5375000,Sedan,1800,Automatic,5,127
Toyota Yaris ATIV MT 1.3 2021,4150000,Sedan,1300,Manual,5,15104
Toyota Corolla GLi 1.3 VVTi 2017,4500000,Sedan,1300,Manual,7,33500
Subaru Stella G 2015,2400000,Hatchback,660,Automatic,5,91000
Honda City 1.3 i-VTEC 2018,3425000,Sedan,1300,Manual,7,58000
Daihatsu Mira G SA III 2017,2850000,Hatchback,660,Automatic,5,74000
Toyota Voxy X 2014,5400000,Mini Van,2000,Automatic,5,72000
KIA Picanto 1.0 AT 2020,2850000,Hatchback,998,Automatic,7,57000
Toyota Fortuner 2.7 VVTi 2013,7200000,SUV,2700,Automatic,5,137000
